id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
12689,2.0,No,8.0,6.0,,10.0,7.0,Extrovert
15064,3.0,No,,5.0,No,6.0,4.0,Extrovert
3134,2.0,No,5.0,7.0,No,5.0,9.0,Extrovert
18399,1.0,No,,4.0,No,,3.0,Extrovert
19425,0.0,No,9.0,3.0,No,4.0,7.0,
6276,4.0,Yes,0.0,3.0,Yes,,0.0,Introvert
1411,0.0,No,9.0,5.0,No,7.0,6.0,Extrovert
19086,0.0,No,5.0,5.0,No,13.0,5.0,
13454,4.0,,0.0,2.0,Yes,3.0,1.0,Introvert
8116,0.0,No,7.0,7.0,No,9.0,5.0,Extrovert
117,0.0,No,6.0,5.0,No,13.0,8.0,Extrovert
4263,0.0,No,3.0,3.0,No,10.0,8.0,Extrovert
16133,2.0,No,6.0,3.0,No,9.0,6.0,Extrovert
14738,,No,8.0,6.0,No,5.0,8.0,Extrovert
18415,10.0,Yes,1.0,0.0,Yes,3.0,0.0,Introvert
23248,3.0,No,9.0,5.0,No,8.0,5.0,
24306,4.0,No,7.0,3.0,No,8.0,7.0,
12931,10.0,Yes,0.0,,Yes,4.0,0.0,Introvert
5497,2.0,,5.0,6.0,No,14.0,8.0,Extrovert
4188,2.0,No,9.0,7.0,No,11.0,3.0,Extrovert
17528,2.0,No,4.0,6.0,No,8.0,9.0,Extrovert
18804,8.0,,2.0,0.0,Yes,4.0,0.0,
12698,1.0,No,5.0,6.0,,12.0,5.0,Extrovert
2919,2.0,No,6.0,4.0,No,13.0,,Extrovert
5603,0.0,No,3.0,6.0,No,4.0,3.0,Extrovert
6561,0.0,No,8.0,3.0,No,6.0,9.0,Extrovert
13523,0.0,No,4.0,7.0,No,11.0,9.0,Extrovert
2920,0.0,No,8.0,5.0,No,15.0,4.0,Extrovert
22837,3.0,No,6.0,5.0,No,7.0,10.0,
16805,3.0,No,5.0,5.0,No,9.0,9.0,Extrovert
4012,6.0,Yes,2.0,1.0,Yes,4.0,,Introvert
23838,0.0,No,6.0,6.0,No,7.0,3.0,
2742,6.0,Yes,1.0,3.0,Yes,4.0,2.0,Introvert
1808,0.0,No,4.0,3.0,No,12.0,10.0,Extrovert
9195,8.0,,3.0,0.0,Yes,2.0,0.0,Introvert
5271,0.0,No,5.0,3.0,No,5.0,9.0,Extrovert
14389,3.0,No,4.0,4.0,No,12.0,8.0,Extrovert
6523,2.0,No,8.0,3.0,No,7.0,3.0,Extrovert
22556,9.0,Yes,,3.0,Yes,1.0,2.0,
5023,0.0,No,9.0,3.0,No,14.0,3.0,Extrovert
5614,0.0,No,7.0,7.0,No,13.0,7.0,Extrovert
6375,,Yes,3.0,1.0,,1.0,1.0,Introvert
9426,1.0,No,9.0,,No,13.0,7.0,Extrovert
1155,11.0,Yes,,2.0,Yes,5.0,0.0,Introvert
11271,11.0,Yes,1.0,1.0,,2.0,2.0,Introvert
19157,3.0,No,5.0,4.0,No,15.0,,
